Jumlah Epoch	Jumlah Batch Size	Jumlah Neuron pada FC	Jumlah Input pada Flatten	Akurasi (%)						
20	32	16	512	46.25
20	32	16	1024	12.5
20	32	32	8	26.25
20	32	32	16	37.5
20	32	32	32	46.25
20	32	32	64	95
20	32	32	128	83.75
20	32	32	256	100
20	32	32	512	98.75
20	32	32	1024	100
20	32	64	8	23.75
20	32	64	16	12.5
20	32	64	32	66.25
20	32	64	64	76.25
20	32	64	128	100
20	32	64	256	12.5
20	32	64	512	97.5
20	32	64	1024	73.75
Jumlah Epoch	Jumlah Batch Size	Jumlah Neuron pada FC	Jumlah Input pada Flatten	Akurasi (%)
25	2	2	8	12.5
25	2	2	16	31.25
25	2	2	32	28.75
25	2	2	64	51.25
25	2	2	128	12.5
25	2	2	256	26.25
25	2	2	512	77.5
25	2	2	1024	73.75
25	2	4	8	31.25
25	2	4	16	25
25	2	4	32	12.5
25	2	4	64	77.5
25	2	4	128	98.75
25	2	4	256	25
25	2	4	512	86.25
25	2	4	1024	12.5
25	2	8	8	37.5
25	2	8	16	93.75
25	2	8	32	100
25	2	8	64	100
25	2	8	128	100
25	2	8	256	100
25	2	8	512	100
25	2	8	1024	100
25	2	16	8	12.5
25	2	16	16	83.75
25	2	16	32	98.75
25	2	16	64	100
25	2	16	128	100
25	2	16	256	100
25	2	16	512	100
25	2	16	1024	100
25	2	32	8	28.75
25	2	32	16	83.75
25	2	32	32	100
25	2	32	64	100
25	2	32	128	12.5
25	2	32	256	100
25	2	32	512	100
25	2	32	1024	100
25	2	64	8	12.5
25	2	64	16	92.5
25	2	64	32	100
25	2	64	64	100
25	2	64	128	100
25	2	64	256	100
25	2	64	512	100
25	2	64	1024	12.5
25	4	2	8	12.5
25	4	2	16	12.5
25	4	2	32	50
25	4	2	64	12.5
25	4	2	128	50
25	4	2	256	12.5
25	4	2	512	12.5
25	4	2	1024	12.5
25	4	4	8	12.5
25	4	4	16	12.5
25	4	4	32	62.5
25	4	4	64	42.5
25	4	4	128	95
25	4	4	256	25
25	4	4	512	76.25
25	4	4	1024	12.5
25	4	8	8	23.75
25	4	8	16	58.75
25	4	8	32	95
25	4	8	64	100
25	4	8	128	12.5
25	4	8	256	100
25	4	8	512	100
25	4	8	1024	12.5
25	4	16	8	31.25
25	4	16	16	12.5
25	4	16	32	100
25	4	16	64	100
25	4	16	128	100
25	4	16	256	12.5
25	4	16	512	100
25	4	16	1024	100
25	4	32	8	32.5
25	4	32	16	93.75
25	4	32	32	100
25	4	32	64	100
25	4	32	128	100
25	4	32	256	100
25	4	32	512	100
25	4	32	1024	100
25	4	64	8	45
25	4	64	16	86.25
25	4	64	32	100
25	4	64	64	100
25	4	64	128	100
25	4	64	256	100
25	4	64	512	100
25	4	64	1024	100
25	8	2	8	16.25
25	8	2	16	12.5
25	8	2	32	23.75
25	8	2	64	12.5
25	8	2	128	12.5
25	8	2	256	30
25	8	2	512	12.5
25	8	2	1024	12.5
25	8	4	8	23.75
25	8	4	16	18.75
25	8	4	32	25
25	8	4	64	62.5
25	8	4	128	51.25
25	8	4	256	73.75
25	8	4	512	27.5
25	8	4	1024	66.25
25	8	8	8	21.25
25	8	8	16	31.25
25	8	8	32	87.5
25	8	8	64	12.5
25	8	8	128	12.5
25	8	8	256	100
25	8	8	512	28.75
25	8	8	1024	98.75
25	8	16	8	30
25	8	16	16	43.75
25	8	16	32	96.25
25	8	16	64	100
25	8	16	128	100
25	8	16	256	100
25	8	16	512	100
25	8	16	1024	100
25	8	32	8	25
25	8	32	16	65
25	8	32	32	82.5
25	8	32	64	12.5
25	8	32	128	100
25	8	32	256	12.5
25	8	32	512	100
25	8	32	1024	100
25	8	64	8	26.25
25	8	64	16	12.5
25	8	64	32	100
25	8	64	64	100
25	8	64	128	100
25	8	64	256	100
25	8	64	512	100
25	8	64	1024	100
25	16	2	8	12.5
25	16	2	16	21.25
25	16	2	32	12.5
25	16	2	64	12.5
25	16	2	128	18.75
25	16	2	256	12.5
25	16	2	512	20
25	16	2	1024	12.5
25	16	4	8	12.5
25	16	4	16	23.75
25	16	4	32	26.25
25	16	4	64	12.5
25	16	4	128	43.75
25	16	4	256	37.5
25	16	4	512	12.5
25	16	4	1024	25
25	16	8	8	25
25	16	8	16	25
25	16	8	32	12.5
25	16	8	64	36.25
25	16	8	128	22.5
25	16	8	256	61.25
25	16	8	512	53.75
25	16	8	1024	56.25
25	16	16	8	12.5
25	16	16	16	37.5
25	16	16	32	71.25
25	16	16	64	12.5
25	16	16	128	100
25	16	16	256	75
25	16	16	512	95
25	16	16	1024	100
25	16	32	8	12.5
25	16	32	16	48.75
25	16	32	32	87.5
25	16	32	64	98.75
25	16	32	128	97.5
25	16	32	256	100
25	16	32	512	12.5
25	16	32	1024	100
25	16	64	8	25
25	16	64	16	46.25
25	16	64	32	96.25
25	16	64	64	100
25	16	64	128	100
25	16	64	256	100
25	16	64	512	12.5
25	16	64	1024	95
25	32	2	8	12.5
25	32	2	16	12.5
25	32	2	32	11.25
25	32	2	64	12.5
25	32	2	128	35
25	32	2	256	12.5
25	32	2	512	16.25
